invoice_id,vendor_id,vendor_name,invoice_number,invoice_date,due_date,description,quantity,unit_price,tax_rate,currency
550e8400-e29b-41d4-a716-446655440001,vendor-001,Emirates Office Supplies LLC,INV-2024-001,2024-01-15,2024-02-14,"Office stationery and supplies",1,2500.00,0.05,AED
550e8400-e29b-41d4-a716-446655440002,vendor-002,Dubai Power & Water,DEWA-JAN-2024,2024-01-20,2024-02-05,"Electricity and water utilities January 2024",1,8750.00,0.05,AED
550e8400-e29b-41d4-a716-446655440003,vendor-003,TechSoft Solutions,TS-2024-045,2024-01-22,2024-02-21,"Annual SaaS subscription - Project management software",12,450.00,0.05,AED
550e8400-e29b-41d4-a716-446655440004,vendor-004,Legal Advisors ME,LA-INV-789,2024-01-25,2024-02-24,"Professional legal consultation services",8,1500.00,0.05,AED
550e8400-e29b-41d4-a716-446655440005,vendor-005,Dubai Marketing Agency,DMA-2024-012,2024-01-28,2024-02-27,"Social media advertising campaign Q1 2024",1,15000.00,0.05,AED
550e8400-e29b-41d4-a716-446655440006,vendor-006,Global Travel Services,GTS-989234,2024-01-30,2024-02-14,"Business travel - Flight tickets to London",3,3200.00,0.05,AED
550e8400-e29b-41d4-a716-446655440007,vendor-007,Office Rent Properties,RENT-FEB-2024,2024-02-01,2024-02-10,"Office space rental - February 2024",1,45000.00,0.05,AED
550e8400-e29b-41d4-a716-446655440008,vendor-008,Cloud Services Inc,AWS-JAN-2024,2024-02-05,2024-03-05,"Cloud hosting and IT infrastructure January",1,5600.00,0.05,AED
550e8400-e29b-41d4-a716-446655440009,vendor-009,Emirates Insurance Co,EIC-POL-2024,2024-02-10,2024-03-10,"Annual business insurance premium",1,28000.00,0.05,AED
550e8400-e29b-41d4-a716-446655440010,vendor-010,Payroll Services UAE,PS-JAN-2024,2024-02-15,2024-03-01,"Payroll processing fees January 2024",1,3500.00,0.05,AED
